"channel_id","date","time","utc_time","along_channel_distance","CoordX","CoordY","longitude","latitude","water_surface_elevation_NAVD88","water_surface_elevation_WGS84","water_surface_elevation_uncertainty"
"WLO","2015-05-08","11:15:10",40510,25350,651587.8,3267092.11,-91.4357978,29.5242677,0.592,-24.565,0.073
"WLO","2015-05-08","11:15:10",40510,25400,651574.39,3267043.94,-91.4359428,29.5238347,0.592,-24.564,0.073
"WLO","2015-05-08","11:15:10",40510,25450,651560.97,3266995.77,-91.436088,29.5234018,0.591,-24.564,0.073
"WLO","2015-05-08","11:15:10",40510,25500,651547.56,3266947.61,-91.436233,29.5229689,0.591,-24.564,0.073
"WLO","2015-05-08","11:15:10",40510,25550,651534.14,3266899.44,-91.4363781,29.522536,0.591,-24.563,0.073
"WLO","2015-05-08","11:15:10",40510,25600,651520.73,3266851.27,-91.4365231,29.522103,0.59,-24.563,0.073
"WLO","2015-05-08","11:15:10",40510,25650,651507.31,3266803.11,-91.4366682,29.5216701,0.59,-24.562,0.073
"WLO","2015-05-08","11:15:10",40510,25700,651493.9,3266754.94,-91.4368132,29.5212372,0.59,-24.561,0.073
"WLO","2015-05-08","11:15:10",40510,25750,651480.48,3266706.77,-91.4369583,29.5208042,0.59,-24.56,0.073
"WLO","2015-05-08","11:15:10",40510,25800,651467.07,3266658.61,-91.4371034,29.5203714,0.59,-24.56,0.073
"WLO","2015-05-08","11:15:10",40510,25850,651453.65,3266610.44,-91.4372485,29.5199384,0.59,-24.559,0.073
"WLO","2015-05-08","11:15:10",40510,25900,651440.23,3266562.27,-91.4373936,29.5195054,0.589,-24.559,0.073
"WLO","2015-05-08","11:15:10",40510,25950,651426.82,3266514.11,-91.4375386,29.5190726,0.589,-24.558,0.073
"WLO","2015-05-08","11:15:10",40510,26000,651413.4,3266465.94,-91.4376837,29.5186396,0.589,-24.557,0.073
"WLO","2015-05-08","11:15:10",40510,26050,651399.99,3266417.77,-91.4378287,29.5182067,0.589,-24.557,0.074
"WLO","2015-05-08","11:15:10",40510,26100,651386.57,3266369.61,-91.4379738,29.5177738,0.589,-24.556,0.074
"WLO","2015-05-08","11:15:10",40510,26150,651373.16,3266321.44,-91.4381188,29.5173408,0.588,-24.556,0.074
"WLO","2015-05-08","11:15:10",40510,26200,651359.74,3266273.27,-91.4382639,29.5169079,0.588,-24.555,0.074
"WLO","2015-05-08","11:15:10",40510,26250,651346.33,3266225.11,-91.4384089,29.516475,0.587,-24.555,0.074
"WLO","2015-05-08","11:15:10",40510,26300,651332.91,3266176.94,-91.438554,29.516042,0.587,-24.555,0.074
"WLO","2015-05-08","11:15:10",40510,26350,651319.5,3266128.77,-91.438699,29.5156091,0.586,-24.554,0.074
"WLO","2015-05-08","11:15:10",40510,26400,651306.08,3266080.61,-91.4388441,29.5151762,0.586,-24.554,0.074
"WLO","2015-05-08","11:15:10",40510,26450,651292.67,3266032.44,-91.438989,29.5147432,0.585,-24.553,0.074
"WLO","2015-05-08","11:15:10",40510,26500,651279.25,3265984.27,-91.4391341,29.5143103,0.585,-24.553,0.074
"WLO","2015-05-08","11:15:10",40510,26550,651265.83,3265936.11,-91.4392792,29.5138774,0.584,-24.553,0.074
"WLO","2015-05-08","11:15:10",40510,26600,651252.42,3265887.94,-91.4394242,29.5134445,0.584,-24.552,0.074
"WLO","2015-05-08","11:15:10",40510,26650,651239,3265839.77,-91.4395693,29.5130115,0.583,-24.552,0.074
"WLO","2015-05-08","11:15:10",40510,26700,651225.59,3265791.61,-91.4397143,29.5125786,0.583,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,26750,651212.17,3265743.44,-91.4398594,29.5121457,0.582,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,26800,651198.76,3265695.27,-91.4400044,29.5117127,0.582,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,26850,651185.34,3265647.11,-91.4401494,29.5112798,0.581,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,26900,651171.93,3265598.94,-91.4402944,29.5108469,0.58,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,26950,651158.51,3265550.77,-91.4404395,29.5104139,0.579,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,27000,651145.1,3265502.61,-91.4405845,29.509981,0.578,-24.551,0.074
"WLO","2015-05-08","11:15:10",40510,27050,651131.68,3265454.44,-91.4407295,29.5095481,0.576,-24.552,0.074
"WLO","2015-05-08","11:15:10",40510,27100,651118.27,3265406.27,-91.4408745,29.5091151,0.575,-24.552,0.074
"WLO","2015-05-08","11:15:10",40510,27150,651104.85,3265358.11,-91.4410196,29.5086822,0.574,-24.553,0.074
"WLO","2015-05-08","11:15:10",40510,27200,651091.43,3265309.94,-91.4411647,29.5082493,0.572,-24.553,0.074
"WLO","2015-05-08","11:15:10",40510,27250,651078.02,3265261.77,-91.4413096,29.5078163,0.57,-24.554,0.074
"WLO","2015-05-08","11:15:10",40510,27300,651064.6,3265213.61,-91.4414547,29.5073834,0.569,-24.555,0.074
"WLO","2015-05-08","11:15:10",40510,27350,651051.19,3265165.44,-91.4415997,29.5069505,0.567,-24.556,0.074
"WLO","2015-05-08","11:15:10",40510,27400,651037.77,3265117.27,-91.4417447,29.5065175,0.565,-24.557,0.074
"WLO","2015-05-08","11:15:10",40510,27450,651024.36,3265069.11,-91.4418897,29.5060846,0.563,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,27500,651010.94,3265020.94,-91.4420348,29.5056517,0.56,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,27550,650997.53,3264972.77,-91.4421797,29.5052187,0.558,-24.561,0.074
"WLO","2015-05-08","11:15:10",40510,27600,650984.11,3264924.61,-91.4423248,29.5047858,0.556,-24.563,0.074
"WLO","2015-05-08","11:15:10",40510,27650,650970.7,3264876.44,-91.4424698,29.5043528,0.553,-24.565,0.074
"WLO","2015-05-08","11:15:10",40510,27700,650957.28,3264828.27,-91.4426148,29.5039199,0.55,-24.567,0.074
"WLO","2015-05-08","11:15:10",40510,27750,650943.87,3264780.11,-91.4427598,29.503487,0.547,-24.569,0.074
"WLO","2015-05-08","11:15:10",40510,27800,650930.45,3264731.94,-91.4429048,29.503054,0.544,-24.571,0.074
"WLO","2015-05-08","11:15:10",40510,27850,650917.03,3264683.77,-91.4430499,29.5026211,0.541,-24.574,0.074
"WLO","2015-05-08","11:15:10",40510,27900,650903.62,3264635.61,-91.4431948,29.5021882,0.537,-24.576,0.074
"WLO","2015-05-08","11:15:10",40510,27950,650890.2,3264587.44,-91.4433399,29.5017552,0.534,-24.578,0.074
"WLO","2015-05-08","11:15:10",40510,28000,650876.79,3264539.27,-91.4434848,29.5013223,0.531,-24.581,0.074
"WLO","2015-05-08","11:15:10",40510,28050,650863.37,3264491.11,-91.4436299,29.5008894,0.527,-24.583,0.074
"WLO","2015-05-08","11:15:10",40510,28100,650849.96,3264442.94,-91.4437748,29.5004564,0.524,-24.586,0.074
"WLO","2015-05-08","11:15:10",40510,28150,650836.54,3264394.77,-91.4439199,29.5000234,0.521,-24.588,0.074
"WLO","2015-05-08","11:15:10",40510,28200,650823.13,3264346.61,-91.4440648,29.4995906,0.517,-24.591,0.074
"WLO","2015-05-08","11:15:10",40510,28250,650809.71,3264298.44,-91.4442099,29.4991576,0.514,-24.593,0.074
"WLO","2015-05-08","11:15:10",40510,28300,650796.3,3264250.27,-91.4443548,29.4987246,0.512,-24.595,0.074
"WLO","2015-05-08","11:15:10",40510,28350,650782.88,3264202.11,-91.4444999,29.4982918,0.509,-24.597,0.074
"WLO","2015-05-08","11:15:10",40510,28400,650769.47,3264153.94,-91.4446448,29.4978588,0.506,-24.599,0.074
"WLO","2015-05-08","11:15:10",40510,28450,650756.05,3264105.77,-91.4447898,29.4974258,0.503,-24.601,0.074
"WLO","2015-05-08","11:15:10",40510,28500,650742.63,3264057.61,-91.4449349,29.4969929,0.5,-24.604,0.074
"WLO","2015-05-08","11:15:10",40510,28550,650729.22,3264009.44,-91.4450798,29.49656,0.497,-24.606,0.074
"WLO","2015-05-08","11:15:10",40510,28600,650715.8,3263961.27,-91.4452249,29.496127,0.494,-24.608,0.074
"WLO","2015-05-08","11:15:10",40510,28650,650702.39,3263913.11,-91.4453698,29.4956941,0.491,-24.61,0.074
"WLO","2015-05-08","11:15:10",40510,28700,650688.97,3263864.94,-91.4455148,29.4952611,0.488,-24.612,0.074
"WLO","2015-05-08","11:15:10",40510,28750,650675.56,3263816.77,-91.4456597,29.4948282,0.485,-24.614,0.074
"WLO","2015-05-08","11:15:10",40510,28800,650662.14,3263768.61,-91.4458048,29.4943953,0.483,-24.616,0.074
"WLO","2015-05-08","11:15:10",40510,28850,650648.73,3263720.44,-91.4459497,29.4939623,0.48,-24.618,0.074
"WLO","2015-05-08","11:15:10",40510,28900,650635.31,3263672.27,-91.4460947,29.4935293,0.477,-24.62,0.074
"WLO","2015-05-08","11:15:10",40510,28950,650621.9,3263624.11,-91.4462397,29.4930965,0.475,-24.621,0.074
"WLO","2015-05-08","11:15:10",40510,29000,650608.48,3263575.94,-91.4463847,29.4926635,0.472,-24.623,0.074
"WLO","2015-05-08","11:15:10",40510,29050,650595.07,3263527.77,-91.4465296,29.4922305,0.47,-24.625,0.074
"WLO","2015-05-08","11:15:10",40510,29100,650581.65,3263479.61,-91.4466746,29.4917976,0.468,-24.626,0.074
"WLO","2015-05-08","11:15:10",40510,29150,650568.23,3263431.44,-91.4468197,29.4913647,0.465,-24.628,0.074
"WLO","2015-05-08","11:15:10",40510,29200,650554.82,3263383.27,-91.4469646,29.4909317,0.463,-24.629,0.074
